country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Algeria,DZ,DZA,12,Zero vegetable or fruit consumption (6-23months),2019,24.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Algeria,DZ,DZA,12,Zero vegetable or fruit consumption (6-23months),2019,26,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Angola,AO,AGO,24,Zero vegetable or fruit consumption (6-23months),2015,38.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Angola,AO,AGO,24,Zero vegetable or fruit consumption (6-23months),2015,34.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Angola,AO,AGO,24,Zero vegetable or fruit consumption (6-23months),2015,36.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Zero vegetable or fruit consumption (6-23months),2005,18.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Zero vegetable or fruit consumption (6-23months),2010,23.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Zero vegetable or fruit consumption (6-23months),2016,24.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Zero vegetable or fruit consumption (6-23months),2005,19.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Zero vegetable or fruit consumption (6-23months),2010,25.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Zero vegetable or fruit consumption (6-23months),2016,19.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Zero vegetable or fruit consumption (6-23months),2005,19,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Zero vegetable or fruit consumption (6-23months),2010,24.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Armenia,AM,ARM,51,Zero vegetable or fruit consumption (6-23months),2016,22.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Azerbaijan,AZ,AZE,31,Zero vegetable or fruit consumption (6-23months),2006,40.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Azerbaijan,AZ,AZE,31,Zero vegetable or fruit consumption (6-23months),2006,36.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Azerbaijan,AZ,AZE,31,Zero vegetable or fruit consumption (6-23months),2006,38.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Zero vegetable or fruit consumption (6-23months),2011,54.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Zero vegetable or fruit consumption (6-23months),2014,50.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Zero vegetable or fruit consumption (6-23months),2018,49.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Zero vegetable or fruit consumption (6-23months),2019,45.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Zero vegetable or fruit consumption (6-23months),2011,56.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Zero vegetable or fruit consumption (6-23months),2014,55.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Zero vegetable or fruit consumption (6-23months),2018,45.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Zero vegetable or fruit consumption (6-23months),2019,44.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Zero vegetable or fruit consumption (6-23months),2011,55.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Zero vegetable or fruit consumption (6-23months),2014,52.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Zero vegetable or fruit consumption (6-23months),2018,47.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Zero vegetable or fruit consumption (6-23months),2019,44.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belarus,BY,BLR,112,Zero vegetable or fruit consumption (6-23months),2019,2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belarus,BY,BLR,112,Zero vegetable or fruit consumption (6-23months),2019,3.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belarus,BY,BLR,112,Zero vegetable or fruit consumption (6-23months),2019,3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belize,BZ,BLZ,84,Zero vegetable or fruit consumption (6-23months),2015,29,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belize,BZ,BLZ,84,Zero vegetable or fruit consumption (6-23months),2015,31.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Belize,BZ,BLZ,84,Zero vegetable or fruit consumption (6-23months),2015,30.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Zero vegetable or fruit consumption (6-23months),2012,54.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Zero vegetable or fruit consumption (6-23months),2014,54.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Zero vegetable or fruit consumption (6-23months),2018,55.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Zero vegetable or fruit consumption (6-23months),2021,47.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Zero vegetable or fruit consumption (6-23months),2012,50.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Zero vegetable or fruit consumption (6-23months),2014,54.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Zero vegetable or fruit consumption (6-23months),2018,52.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Zero vegetable or fruit consumption (6-23months),2021,48.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Zero vegetable or fruit consumption (6-23months),2012,52.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Zero vegetable or fruit consumption (6-23months),2014,54.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Zero vegetable or fruit consumption (6-23months),2018,54.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Zero vegetable or fruit consumption (6-23months),2021,47.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bhutan,BT,BTN,64,Zero vegetable or fruit consumption (6-23months),2015,59.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bhutan,BT,BTN,64,Zero vegetable or fruit consumption (6-23months),2015,62.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Bhutan,BT,BTN,64,Zero vegetable or fruit consumption (6-23months),2015,60.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Bolivia, Plurinational State of",BO,BOL,68,Zero vegetable or fruit consumption (6-23months),2008,18.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Bolivia, Plurinational State of",BO,BOL,68,Zero vegetable or fruit consumption (6-23months),2016,16.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Bolivia, Plurinational State of",BO,BOL,68,Zero vegetable or fruit consumption (6-23months),2008,20.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Bolivia, Plurinational State of",BO,BOL,68,Zero vegetable or fruit consumption (6-23months),2016,15.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Bolivia, Plurinational State of",BO,BOL,68,Zero vegetable or fruit consumption (6-23months),2008,19.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Bolivia, Plurinational State of",BO,BOL,68,Zero vegetable or fruit consumption (6-23months),2016,15.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Brazil,BR,BRA,76,Zero vegetable or fruit consumption (6-23months),2019,22.5,Female,Units,%,Reported,,Middle of fieldwork,6 to 23 months old
Brazil,BR,BRA,76,Zero vegetable or fruit consumption (6-23months),2019,19.4,Male,Units,%,Reported,,Middle of fieldwork,6 to 23 months old
Brazil,BR,BRA,76,Zero vegetable or fruit consumption (6-23months),2019,20.9,Total,Units,%,Reported,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Zero vegetable or fruit consumption (6-23months),2010,74.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Zero vegetable or fruit consumption (6-23months),2019,24.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Zero vegetable or fruit consumption (6-23months),2020,30.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Zero vegetable or fruit consumption (6-23months),2021,33.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Zero vegetable or fruit consumption (6-23months),2010,74.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Zero vegetable or fruit consumption (6-23months),2019,27.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Zero vegetable or fruit consumption (6-23months),2020,31.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Zero vegetable or fruit consumption (6-23months),2021,32.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Zero vegetable or fruit consumption (6-23months),2010,74.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Zero vegetable or fruit consumption (6-23months),2019,26,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Zero vegetable or fruit consumption (6-23months),2020,31.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burkina Faso,BF,BFA,854,Zero vegetable or fruit consumption (6-23months),2021,33.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Zero vegetable or fruit consumption (6-23months),2010,18.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Zero vegetable or fruit consumption (6-23months),2016,8.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Zero vegetable or fruit consumption (6-23months),2010,19.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Zero vegetable or fruit consumption (6-23months),2016,10.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Zero vegetable or fruit consumption (6-23months),2010,18.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Burundi,BI,BDI,108,Zero vegetable or fruit consumption (6-23months),2016,9.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Zero vegetable or fruit consumption (6-23months),2005,38,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Zero vegetable or fruit consumption (6-23months),2010,35.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Zero vegetable or fruit consumption (6-23months),2014,36.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Zero vegetable or fruit consumption (6-23months),2021,29,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Zero vegetable or fruit consumption (6-23months),2005,38.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Zero vegetable or fruit consumption (6-23months),2010,37.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Zero vegetable or fruit consumption (6-23months),2014,34.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Zero vegetable or fruit consumption (6-23months),2021,28.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Zero vegetable or fruit consumption (6-23months),2005,38.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Zero vegetable or fruit consumption (6-23months),2010,36.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Zero vegetable or fruit consumption (6-23months),2014,35.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cambodia,KH,KHM,116,Zero vegetable or fruit consumption (6-23months),2021,28.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Zero vegetable or fruit consumption (6-23months),2011,40,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Zero vegetable or fruit consumption (6-23months),2014,40.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Zero vegetable or fruit consumption (6-23months),2018,31.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Zero vegetable or fruit consumption (6-23months),2011,39.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Zero vegetable or fruit consumption (6-23months),2014,42.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Zero vegetable or fruit consumption (6-23months),2018,31.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Zero vegetable or fruit consumption (6-23months),2011,39.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Zero vegetable or fruit consumption (6-23months),2014,41.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cameroon,CM,CMR,120,Zero vegetable or fruit consumption (6-23months),2018,31.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Central African Republic,CF,CAF,140,Zero vegetable or fruit consumption (6-23months),2010,22.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Central African Republic,CF,CAF,140,Zero vegetable or fruit consumption (6-23months),2010,21,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Central African Republic,CF,CAF,140,Zero vegetable or fruit consumption (6-23months),2010,21.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2015,70.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2019-08,70.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2019-09,48.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2020,76.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2022,28,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2015,69.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2019-08,71.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2019-09,47.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2020,80.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2022,28.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2015,70.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2019-08,70.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2019-09,47.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2020,78.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Chad,TD,TCD,148,Zero vegetable or fruit consumption (6-23months),2022,28.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Zero vegetable or fruit consumption (6-23months),2013,28.8,Female,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Zero vegetable or fruit consumption (6-23months),2017,8.7,Female,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Zero vegetable or fruit consumption (6-23months),2013,30,Male,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Zero vegetable or fruit consumption (6-23months),2017,9.4,Male,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Zero vegetable or fruit consumption (6-23months),2013,29.4,Total,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Zero vegetable or fruit consumption (6-23months),2017,9.1,Total,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Zero vegetable or fruit consumption (6-23months),2010,26.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Zero vegetable or fruit consumption (6-23months),2016,16.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Zero vegetable or fruit consumption (6-23months),2010,22.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Zero vegetable or fruit consumption (6-23months),2016,14.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Zero vegetable or fruit consumption (6-23months),2010,24.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Zero vegetable or fruit consumption (6-23months),2016,15.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Zero vegetable or fruit consumption (6-23months),2012,43.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Zero vegetable or fruit consumption (6-23months),2012,59.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Zero vegetable or fruit consumption (6-23months),2012,51.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Zero vegetable or fruit consumption (6-23months),2011,39.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Zero vegetable or fruit consumption (6-23months),2014,53.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Zero vegetable or fruit consumption (6-23months),2011,38.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Zero vegetable or fruit consumption (6-23months),2014,49.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Zero vegetable or fruit consumption (6-23months),2011,39.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Zero vegetable or fruit consumption (6-23months),2014,51.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Costa Rica,CR,CRI,188,Zero vegetable or fruit consumption (6-23months),2018,8.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Costa Rica,CR,CRI,188,Zero vegetable or fruit consumption (6-23months),2018,11,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Costa Rica,CR,CRI,188,Zero vegetable or fruit consumption (6-23months),2018,9.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Zero vegetable or fruit consumption (6-23months),2014,27.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Zero vegetable or fruit consumption (6-23months),2019,22.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Zero vegetable or fruit consumption (6-23months),2014,26.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Zero vegetable or fruit consumption (6-23months),2019,20.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Zero vegetable or fruit consumption (6-23months),2014,26.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Zero vegetable or fruit consumption (6-23months),2019,21.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Zero vegetable or fruit consumption (6-23months),2012,72.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Zero vegetable or fruit consumption (6-23months),2016,45.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Zero vegetable or fruit consumption (6-23months),2021,42.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Zero vegetable or fruit consumption (6-23months),2012,78.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Zero vegetable or fruit consumption (6-23months),2016,43.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Zero vegetable or fruit consumption (6-23months),2021,40.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Zero vegetable or fruit consumption (6-23months),2012,75.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Zero vegetable or fruit consumption (6-23months),2016,44.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Zero vegetable or fruit consumption (6-23months),2021,41.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Zero vegetable or fruit consumption (6-23months),2013,28.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Zero vegetable or fruit consumption (6-23months),2017,30.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Zero vegetable or fruit consumption (6-23months),2013,29.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Zero vegetable or fruit consumption (6-23months),2017,25.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Zero vegetable or fruit consumption (6-23months),2013,28.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Zero vegetable or fruit consumption (6-23months),2017,28.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Zero vegetable or fruit consumption (6-23months),2007,30.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Zero vegetable or fruit consumption (6-23months),2013,37.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Zero vegetable or fruit consumption (6-23months),2014,35,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Zero vegetable or fruit consumption (6-23months),2019,20,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Zero vegetable or fruit consumption (6-23months),2007,31.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
